127.0.0.1 - - [10/Jan/2020:09:25:19 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:19 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:19 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:30 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:30 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:31 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:31 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:25:31 +0900] "GET /clientweb/js_dom/function_expression_exam.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:27:50 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:27:50 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:25 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:27 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:34:28 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:40:07 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:57 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:46:39 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:46:39 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 200 236034
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:49:13 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:02 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:36 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:36 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:08:51 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:10:11 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:11:16 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:14:03 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3041
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:15:34 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3121
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:15:39 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:15:39 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:17:07 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:19:20 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 3069
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:19:21 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:20:38 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:20:38 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:21:03 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:10:21:20 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
