127.0.0.1 - - [06/Jan/2020:10:09:33 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:09:34 +0900] "GET /clientweb/css/css_position_test.html HTTP/1.1" 200 2034
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:19:30 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:23:14 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:08 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:12 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:24:12 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:06 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:25 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:26 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:26 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:26 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:27 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:27 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:27 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:27 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:28 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:29 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2020:10:25:29 +0900] "GET /clientweb/css/css_float_test01.html HTTP/1.1" 304 -
